Storm ID,TBRG Time Stamp,Cumulative Storm Time (hours),Cumulative Rainfall (mm)
Ex_Tips_2024_09_13,2024-09-14 00:03:16,0.19,0.6
Ex_Tips_2024_09_13,2024-09-14 00:14:24,0.38,0.8
Ex_Tips_2024_09_13,2024-09-14 00:20:45,0.48,1.0
Ex_Tips_2024_09_13,2024-09-14 00:28:07,0.6,1.2
Ex_Tips_2024_09_13,2024-09-14 00:34:43,0.71,1.4
Ex_Tips_2024_09_13,2024-09-14 00:44:22,0.87,1.6
Ex_Tips_2024_09_13,2024-09-14 00:51:21,0.99,1.8
Ex_Tips_2024_09_13,2024-09-14 01:02:34,1.18,2.0
Ex_Tips_2024_09_13,2024-09-14 01:10:42,1.31,2.2
Ex_Tips_2024_09_13,2024-09-14 01:18:25,1.44,2.4
Ex_Tips_2024_09_13,2024-09-14 01:21:57,1.5,2.6
Ex_Tips_2024_09_13,2024-09-14 01:28:04,1.6,2.8
Ex_Tips_2024_09_13,2024-09-14 01:39:45,1.8,3.0
Ex_Tips_2024_09_13,2024-09-14 02:02:42,2.18,3.2
Ex_Tips_2024_09_13,2024-09-14 02:15:42,2.4,3.4
Ex_Tips_2024_09_13,2024-09-14 02:52:23,3.01,3.6
Ex_Tips_2024_09_13,2024-09-14 04:26:32,4.58,3.8
Ex_Tips_2024_09_25,2024-09-25 14:22:12,0.0,0.2
Ex_Tips_2024_09_25,2024-09-25 14:22:29,0.0,0.4
Ex_Tips_2024_09_25,2024-09-25 14:23:09,0.02,0.6
Ex_Tips_2024_09_25,2024-09-25 14:24:28,0.04,0.8
Ex_Tips_2024_09_25,2024-09-25 14:25:00,0.05,1.0
Ex_Tips_2024_09_25,2024-09-25 14:25:22,0.05,1.2
Ex_Tips_2024_09_25,2024-09-25 14:25:48,0.06,1.4
Ex_Tips_2024_09_25,2024-09-25 14:26:03,0.06,1.6
Ex_Tips_2024_09_25,2024-09-25 14:26:57,0.08,1.8
Ex_Tips_2024_09_25,2024-09-25 14:28:22,0.1,2.0
Ex_Tips_2024_09_25,2024-09-25 15:12:22,0.84,2.2
Ex_Tips_2024_09_25,2024-09-25 15:16:09,0.9,2.4
Ex_Tips_2024_09_25,2024-09-25 15:18:21,0.94,2.6
Ex_Tips_2024_09_25,2024-09-25 15:19:29,0.95,2.8
Ex_Tips_2024_09_25,2024-09-25 15:19:46,0.96,3.0
Ex_Tips_2024_09_25,2024-09-25 15:20:04,0.96,3.2
Ex_Tips_2024_09_25,2024-09-25 15:20:22,0.97,3.4
Ex_Tips_2024_09_25,2024-09-25 15:20:34,0.97,3.6
Ex_Tips_2024_09_25,2024-09-25 15:20:51,0.98,3.8
Ex_Tips_2024_09_25,2024-09-25 15:21:08,0.98,4.0
Ex_Tips_2024_09_25,2024-09-25 15:21:53,0.99,4.2
Ex_Tips_2024_09_25,2024-09-25 15:22:15,1.0,4.4
Ex_Tips_2024_09_25,2024-09-25 15:22:56,1.01,4.6
Ex_Tips_2024_09_25,2024-09-25 15:23:49,1.03,4.8
Ex_Tips_2024_09_25,2024-09-25 15:25:22,1.05,5.0
Ex_Tips_2024_09_25,2024-09-25 15:26:57,1.08,5.2
Ex_Tips_2024_09_25,2024-09-25 15:27:48,1.09,5.4
Ex_Tips_2024_09_25,2024-09-25 15:28:33,1.11,5.6
Ex_Tips_2024_09_25,2024-09-25 15:28:54,1.11,5.8
Ex_Tips_2024_09_25,2024-09-25 15:29:09,1.12,6.0
Ex_Tips_2024_09_25,2024-09-25 15:29:27,1.12,6.2
Ex_Tips_2024_09_25,2024-09-25 15:29:39,1.12,6.4
Ex_Tips_2024_09_25,2024-09-25 15:29:58,1.13,6.6
Ex_Tips_2024_09_25,2024-09-25 15:30:19,1.14,6.8
Ex_Tips_2024_09_25,2024-09-25 15:30:54,1.14,7.0
Ex_Tips_2024_09_25,2024-09-25 15:31:13,1.15,7.2
Ex_Tips_2024_09_25,2024-09-25 15:31:44,1.16,7.4
Ex_Tips_2024_09_25,2024-09-25 15:32:24,1.17,7.6
Ex_Tips_2024_09_25,2024-09-25 15:33:54,1.2,7.8
Ex_Tips_2024_09_25,2024-09-25 15:35:01,1.21,8.0
Ex_Tips_2024_09_25,2024-09-25 15:36:41,1.24,8.2
Ex_Tips_2024_09_25,2024-09-25 15:37:56,1.26,8.4
Ex_Tips_2024_09_25,2024-09-25 15:38:40,1.27,8.6
Ex_Tips_2024_09_25,2024-09-25 15:39:20,1.29,8.8
Ex_Tips_2024_09_25,2024-09-25 15:40:31,1.31,9.0
Ex_Tips_2024_09_25,2024-09-25 15:42:27,1.34,9.2
Ex_Tips_2024_09_25,2024-09-25 18:51:46,4.49,9.4
Ex_Tips_2024_09_25,2024-09-25 19:08:34,4.77,9.6
Ex_Tips_2024_09_25,2024-09-25 19:24:14,5.03,9.8
Ex_Tips_2024_09_25,2024-09-25 19:40:36,5.31,10.0
Ex_Tips_2024_09_25,2024-09-25 19:47:11,5.42,10.2
Ex_Tips_2024_09_25,2024-09-25 19:51:06,5.48,10.4
Ex_Tips_2024_09_25,2024-09-25 19:58:45,5.61,10.6
Ex_Tips_2024_09_25,2024-09-25 20:02:55,5.68,10.8
Ex_Tips_2024_09_25,2024-09-25 20:11:18,5.82,11.0
Ex_Tips_2024_09_25,2024-09-25 20:40:59,6.31,11.2
Ex_Tips_2024_09_25,2024-09-25 21:09:36,6.79,11.4
Ex_Tips_2024_09_25,2024-09-25 23:27:57,9.1,11.6
Ex_Tips_2024_09_25,2024-09-25 23:31:52,9.16,11.8
Ex_Tips_2024_09_25,2024-09-25 23:57:27,9.59,12.0
Ex_Tips_2024_09_25,2024-09-26 00:19:05,9.95,12.2
Ex_Tips_2024_09_25,2024-09-26 00:55:10,10.55,12.4
